VisitID,VisitActions,Date,Page,Query_string,User_Agent,Cookie,Referer,TimeStamp,Visitor_ID,Username,Order_ID,Visit_time,Time_per_page,page1,page2,page3,time_gap1,time_gap2,first_dir,Title,Name,Address,Country,Gender,Age,Buy_for,Favourites,Filmname,Style,Price,Product_ID
Visit_0,7,2001-02-18,splash.htm,-,Browser_0,Cookie_157668,,67345630,VisitorID_0,,,6454,922.000000,,,,0,0,,,,,,,,,,,,,
Visit_0,7,2001-02-18,main.htm,-,Browser_0,Cookie_157668,,67347013,VisitorID_0,,,6454,922.000000,,,,0,0,,,,,,,,,,,,,
Visit_0,7,2001-02-18,/western/western.htm,-,Browser_0,Cookie_157668,,67348297,VisitorID_0,,,6454,922.000000,,,,0,0,/western/,,,,,,,,,,,,
Visit_0,7,2001-02-18,bargin.asp,-,Browser_0,Cookie_157668,,67349869,VisitorID_0,,,6454,922.000000,,,,0,0,,,,,,,,,,,,,
Visit_0,7,2001-02-18,/horror/dracula.htm,-,Browser_0,Cookie_157668,,67350020,VisitorID_0,,,6454,922.000000,,,,0,0,/horror/,,,,,,,,,,,,
Visit_0,7,2001-02-18,/horror/horror.htm,-,Browser_0,Cookie_157668,,67350311,VisitorID_0,,,6454,922.000000,,,,0,0,/horror/,,,,,,,,,,,,
Visit_0,7,2001-02-18,bargin.asp,-,Browser_0,Cookie_157668,,67352084,VisitorID_0,,,6454,922.000000,,,,0,0,,,,,,,,,,,,,
Visit_1,7,2001-02-20,login.asp?,randomstuff&morerandomgobuldygook&username=user_2594160,Browser_2,Cookie_19568,,0,VisitorID_1,user_2594160,,3991,570.142857,,,,0,0,,MR,BORIS113311,82888702-Boris Road-Doris Town,UK,M,31-40,Family,Children,,,,
Visit_1,7,2001-02-20,splash.htm,-,Browser_2,Cookie_19568,www.online_information_for_everyone.co.uk,67545075,VisitorID_1,,,3991,570.142857,splash.htm,main.htm,login.asp,153,1058,,,,,,,,,,,,,
Visit_1,7,2001-02-20,main.htm,-,Browser_2,Cookie_19568,,67545228,VisitorID_1,,,3991,570.142857,,,,0,0,,,,,,,,,,,,,
Visit_1,7,2001-02-20,login.asp,-,Browser_2,Cookie_19568,,67546286,VisitorID_1,,,3991,570.142857,,,,0,0,,,,,,,,,,,,,
Visit_1,7,2001-02-20,login.asp,-,Browser_2,Cookie_19568,,67547203,VisitorID_1,,,3991,570.142857,,,,0,0,,,,,,,,,,,,,
Visit_1,7,2001-02-20,login.asp?,randomstuff&morerandomgobuldygook&username=user_2594160,Browser_2,Cookie_19568,,67548277,VisitorID_1,user_2594160,,3991,570.142857,,,,0,0,,,,,,,,,,,,,
Visit_1,7,2001-02-20,personal.asp,-,Browser_2,Cookie_19568,,67548328,VisitorID_1,,,3991,570.142857,,,,0,0,,,,,,,,,,,,,
Visit_1,7,2001-02-20,main.htm,-,Browser_2,Cookie_19568,,67549066,VisitorID_1,,,3991,570.142857,,,,0,0,,,,,,,,,,,,,
Visit_10,3,2001-02-24,/drama/rebelwithoutaclue.htm,-,Browser_0,Cookie_90907,www.rebellost.com,67895790,VisitorID_2,,,1698,566.000000,/drama/rebelwithoutaclue.htm,main.htm,/drama/drama.htm,1375,323,/drama/,,,,,,,,,,,,
Visit_10,3,2001-02-24,main.htm,-,Browser_0,Cookie_90907,,67897165,VisitorID_2,,,1698,566.000000,,,,0,0,,,,,,,,,,,,,
Visit_10,3,2001-02-24,/drama/drama.htm,-,Browser_0,Cookie_90907,,67897488,VisitorID_2,,,1698,566.000000,,,,0,0,/drama/,,,,,,,,,,,,
Visit_100,3,2001-02-18,splash.htm,-,Browser_2,Cookie_109447,www.ask_boris.com,67321017,VisitorID_3,,,804,268.000000,splash.htm,main.htm,login.asp,684,120,,,,,,,,,,,,,
Visit_100,3,2001-02-18,main.htm,-,Browser_2,Cookie_109447,,67321701,VisitorID_3,,,804,268.000000,,,,0,0,,,,,,,,,,,,,
Visit_100,3,2001-02-18,login.asp,-,Browser_2,Cookie_109447,,67321821,VisitorID_3,,,804,268.000000,,,,0,0,,,,,,,,,,,,,
Visit_1000,5,2001-02-24,splash.htm,-,Browser_5,Cookie_65618,www.randomreferer4.com,67829436,VisitorID_4,,,5637,1127.400000,splash.htm,main.htm,/sci_fi/scifi.htm,960,1615,,,,,,,,,,,,,
Visit_1000,5,2001-02-24,main.htm,-,Browser_5,Cookie_65618,,67830396,VisitorID_4,,,5637,1127.400000,,,,0,0,,,,,,,,,,,,,
Visit_1000,5,2001-02-24,/sci_fi/scifi.htm,-,Browser_5,Cookie_65618,,67832011,VisitorID_4,,,5637,1127.400000,,,,0,0,/sci_fi/,,,,,,,,,,,,
Visit_1000,5,2001-02-24,bargin.asp,-,Browser_5,Cookie_65618,,67833445,VisitorID_4,,,5637,1127.400000,,,,0,0,,,,,,,,,,,,,
Visit_1000,5,2001-02-24,/horror/dracula.htm,-,Browser_5,Cookie_65618,,67835073,VisitorID_4,,,5637,1127.400000,,,,0,0,/horror/,,,,,,,,,,,,
Visit_10000,11,2001-02-20,/humour/comedy.htm,-,Browser_5,Cookie_56773,www.ask_boris.com,67489279,VisitorID_5,,,6594,599.454545,/humour/comedy.htm,/humour/thepittsburghstory.htm,main.htm,471,770,/humour/,,,,,,,,,,,,
Visit_10000,11,2001-02-20,/humour/thepittsburghstory.htm,-,Browser_5,Cookie_56773,,67489750,VisitorID_5,,,6594,599.454545,,,,0,0,/humour/,,,,,,,,,,,,
Visit_10000,11,2001-02-20,main.htm,-,Browser_5,Cookie_56773,,67490520,VisitorID_5,,,6594,599.454545,,,,0,0,,,,,,,,,,,,,
Visit_10000,11,2001-02-20,/sci_fi/scifi.htm,-,Browser_5,Cookie_56773,,67490949,VisitorID_5,,,6594,599.454545,,,,0,0,/sci_fi/,,,,,,,,,,,,
Visit_10000,11,2001-02-20,/sci_fi/hunter.htm,-,Browser_5,Cookie_56773,,67492633,VisitorID_5,,,6594,599.454545,,,,0,0,/sci_fi/,,,,,,,,,,,,
